                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     87,                0.77991,                0.40201,                0.89572,                0.91829,                0.93552,                0.96457,                0.73345,                0.95372,                0.46488,                0.94281,              0.0002972,              0.0002972,              0.0002972
                     88,                0.76719,                0.40175,                0.88662,                 0.9123,                0.94371,                0.96847,                0.73382,                0.94309,                0.46374,                0.94107,              0.0002774,              0.0002774,              0.0002774
                     89,                0.77354,                0.40419,                0.88517,                0.91723,                0.94023,                0.97265,                0.73416,                0.95426,                0.46664,                0.94698,              0.0002576,              0.0002576,              0.0002576
                     90,                0.76218,                0.40048,                0.88576,                0.90792,                0.94237,                0.97006,                0.73171,                 0.9573,                0.47221,                0.94646,              0.0002378,              0.0002378,              0.0002378
                     91,                0.74771,                0.37972,                0.88463,                 0.9147,                0.93383,                 0.9674,                0.72815,                0.96218,                0.46932,                0.94996,               0.000218,               0.000218,               0.000218
                     92,                 0.7388,                0.37102,                0.88066,                0.93446,                0.92316,                0.96665,                0.72398,                0.96626,                0.46491,                 0.9515,              0.0001982,              0.0001982,              0.0001982
                     93,                0.74027,                0.37196,                 0.8849,                0.92066,                0.93383,                 0.9641,                0.72403,                0.96388,                 0.4619,                0.95062,              0.0001784,              0.0001784,              0.0001784
                     94,                0.72911,                0.36597,                0.87829,                0.91282,                 0.9387,                0.96626,                0.72178,                0.96799,                0.47063,                0.95004,              0.0001586,              0.0001586,              0.0001586
                     95,                 0.7221,                0.36401,                0.87873,                0.91348,                0.94656,                0.96661,                 0.7239,                0.96604,                0.46201,                0.94876,              0.0001388,              0.0001388,              0.0001388
                     96,                0.72246,                0.35858,                0.87674,                0.91829,                0.94747,                0.96662,                0.72698,                0.96441,                0.46373,                0.94838,               0.000119,               0.000119,               0.000119
                     97,                0.72359,                0.35956,                0.88035,                0.92948,                 0.9413,                0.96845,                0.73031,                0.97101,                 0.4605,                0.95088,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.71316,                0.35528,                0.87671,                0.92051,                0.94344,                 0.9682,                0.73021,                0.96151,                0.46524,                0.94933,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.70307,                0.35184,                0.87476,                0.90905,                0.95197,                0.96783,                0.72771,                0.96068,                0.46225,                0.94861,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.70972,                0.35279,                0.87788,                0.91533,                0.94877,                0.96741,                0.72753,                0.96254,                0.46313,                0.94866,               3.98e-05,               3.98e-05,               3.98e-05
